Word i,Word i entity tag,Word i POS,Stopword
يصاب,O,verb,no
البالغون,O,noun,no
ب,O,prep,no
أي,O,noun_quant,yes
من,O,prep,yes
النوعين,O,noun,no
",",O,punc,no
أما,O,part_focus,yes
الأطفال,O,noun,no
المصابون,O,adj,no
ب,O,prep,no
اللوكيميا,B,noun,no
ف,O,conj,yes
غالبا,O,adj,no
ما,O,part,yes
تكون,O,verb,yes
إصابتهم,O,noun,no
ب,O,prep,no
اللوكيميا,B,noun,no
الحادة,I,adj,no
.,O,punc,no
بعض,O,noun_quant,yes
أنواع,O,noun,no
اللوكيميا,B,adj,no
قابلة,O,adj,no
ل,O,prep,no
الشفاء,O,noun,no
غالبا,O,adj,no
",",O,punc,no
أما,O,part_focus,yes
الأنواع,O,noun,no
الأخرى,O,adj,no
ف,O,conj,yes
من,O,prep,yes
الصعب,O,adj,no
أن,O,conj_sub,yes
تشفى,O,verb,no
",",O,punc,no
لكن,O,verb_pseudo,yes
يمكن,O,verb,yes
السيطرة,O,noun,no
عليها,O,prep,no
.,O,punc,no
قد,O,part_verb,yes
تتضمن,O,verb,no
العلاجات,O,noun,no
العلاج,O,noun,no
ب,O,prep,no
الجرعات,O,noun,no
الكيميائية,O,adj,no
و,O,conj,no
العلاج,O,noun,no
ب,O,prep,no
الأشعة,O,noun,no
و,O,conj,no
ب,O,prep,no
زرع,O,noun,no
الخلايا,O,noun,no
الجذعية,O,adj,no
",",O,punc,no
و,O,conj,no
حتى,O,part,no
لو,O,conj_sub,yes
اختفت,O,verb,no
الأعراض,O,noun,no
ف,O,conj,yes
قد,O,part_verb,yes
يحتاج,O,verb,no
المريض,O,noun,no
إلى,O,prep,yes
استمرار,O,noun,no
العلاج,O,noun,no
ل,O,prep,no
منع,O,noun,no
الانتكاس,O,noun,no
.,O,punc,no
مقدمة,O,adj,no
ابيضاض,B,noun,no
الدم,I,noun,no
(,O,punc,no
أو,O,conj,yes
اللوكيميا,B,noun,no
),O,punc,no
هو,O,pron,yes
اسم,O,noun,no
يطلق,O,verb,no
على,O,prep,yes
مجموعة,O,noun,no
من,O,prep,yes
سرطانات,B,noun,no
خلايا,I,noun,no
الدم,I,noun,no
.,O,punc,no
و,O,conj,no
في,O,prep,yes
كل,O,noun_quant,yes
سنة,O,noun,no
",",O,punc,no
يكتشف,O,verb,no
الأطباء,O,noun,no
ابيضاض,B,noun,no
الدم,I,noun,no
عند,O,noun,yes
الآلاف,O,noun,no
من,O,prep,yes
البالغين,O,noun,no
و,O,conj,no
الأطفال,O,noun,no
.,O,punc,no
توجد,O,verb,no
أنواع,O,noun,no
مختلفة,O,adj,no
من,O,prep,yes
ابيضاض,B,noun,no
الدم,I,noun,no
",",O,punc,no
و,O,conj,no
ل,O,prep,no
كل,O,noun_quant,yes
نوع,O,noun,no
عدة,O,adj,no
طرق,O,noun,no
ل,O,prep,no
المعالجة,O,noun,no
.,O,punc,no
يشرح,O,verb,no
هذا,O,pron_dem,yes
البرنامج,O,noun,yes
التثقيفي,O,adj,no
ما,O,pron_rel,yes
هو,O,pron,yes
ابيضاض,B,noun,no
الدم,I,noun,no
",",O,punc,no
و,O,conj,no
يستعرض,O,verb,no
أسبابه,O,noun,no
و,O,conj,no
أعراضه,O,noun,no
و,O,conj,no
تشخيصه,O,noun,no
و,O,conj,no
سبل,O,noun,no
معالجته,O,noun,no
.,O,punc,no
السرطان,O,noun,no
يتألف,O,verb,no
الجسم,O,noun,no
من,O,prep,yes
خلايا,O,noun,no
بالغة,O,adj,no
الصغر,O,noun,no
.,O,punc,no
تنمو,O,verb,no
الخلايا,O,noun,no
الطبيعية,O,adj,no
في,O,prep,yes
الجسم,O,noun,no
",",O,punc,no
و,O,conj,no
تموت,O,verb,no
وفق,O,noun,no
آلية,O,noun,no
مضبوطة,O,adj,no
.,O,punc,no
لكن,O,verb_pseudo,yes
تستمر,O,verb,no
الخلايا,O,noun,no
أحيانا,O,noun,no
في,O,prep,yes
انقسامها,O,noun,no
و,O,conj,no
نموها,O,noun,no
",",O,punc,no
و,O,conj,no
تخرج,O,verb,no
عن,O,prep,yes
السيطرة,O,noun,no
الطبيعية,O,adj,no
",",O,punc,no
مما,O,prep,yes
يسبب,O,verb,no
نموا,O,noun,no
شاذا,O,noun,no
يدعى,O,verb,no
الورم,O,noun,no
.,O,punc,no
إذا,O,conj_sub,yes
كان,O,verb,yes
الورم,O,noun,no
لا,O,part_neg,yes
يهاجم,O,verb,no
الأنسجة,O,noun,no
المجاورة,O,adj,no
و,O,conj,no
أجزاء,O,noun,no
الجسم,O,noun,no
الأخرى,O,adj,no
",",O,punc,no
ف,O,conj,yes
إنه,O,conj_sub,no
يدعى,O,verb,no
ورما,O,noun,no
حميدا,O,noun,no
",",O,punc,no
أو,O,conj,yes
غير,O,noun,yes
سرطاني,O,noun,no
.,O,punc,no
و,O,conj,no
لا,O,part_neg,yes
تشكل,O,verb,no
الأورام,O,noun,no
الحميدة,O,adj,no
خطرا,O,adj,no
على,O,prep,yes
حياة,O,noun,no
المريض,O,noun,no
عادة,O,noun,yes
.,O,punc,no
أما,O,part_focus,yes
إذا,O,conj_sub,yes
كان,O,verb,yes
الورم,O,noun,no
يهاجم,O,verb,no
الخلايا,O,noun,no
المجاورة,O,adj,no
",",O,punc,no
و,O,conj,no
يدمرها,O,verb,no
",",O,punc,no
ف,O,conj,yes
إنه,O,conj_sub,no
يدعى,O,verb,no
ورما,O,noun,no
خبيثا,O,adj,no
أو,O,conj,yes
سرطانا,O,noun,no
.,O,punc,no
و,O,conj,no
يمكن,O,verb,yes
أن,O,conj_sub,yes
يكون,O,verb,yes
السرطان,O,noun,no
قاتلا,O,adj,no
أو,O,conj,yes
مهددا,O,adj,no
ل,O,prep,no
الحياة,O,noun,no
في,O,prep,yes
بعض,O,noun_quant,yes
الأحيان,O,noun,no
.,O,punc,no
تنتشر,O,verb,yes
الخلايا,O,noun,no
السرطانية,O,adj,no
أحيانا,O,noun,no
إلى,O,prep,yes
مختلف,O,noun,no
أنحاء,O,noun,no
الجسم,O,noun,no
",",O,punc,no
عبر,O,noun,no
الأوعية,O,noun,no
الدموية,O,adj,no
و,O,conj,no
القنوات,O,noun,no
اللمفية,O,adj,no
.,O,punc,no
اللمف,O,verb,no
هو,O,pron,yes
سائل,O,noun,no
شفاف,O,adj,no
",",O,punc,no
ينتجه,O,verb,no
الجسم,O,noun,no
",",O,punc,no
و,O,conj,no
يقوم,O,verb,no
ب,O,prep,no
تخليص,O,noun,no
الخلايا,O,noun,no
من,O,prep,yes
الفضلات,O,noun,no
.,O,punc,no
يسير,O,verb,no
اللمف,O,noun,no
عبر,O,noun,no
أوعية,O,noun,no
خاصة,O,adj,no
و,O,conj,no
أجسام,O,noun,no
تشبه,O,verb,no
حبات,O,noun,no
الفاصوليا,O,noun,no
",",O,punc,no
تدعى,O,verb,no
العقد,O,noun,no
اللمفية,O,adj,no
.,O,punc,no
الهدف,O,noun,no
من,O,prep,yes
علاج,O,noun,no
السرطان,O,noun,no
هو,O,pron,yes
قتل,O,noun,no
الخلايا,O,noun,no
السرطانية,O,adj,no
",",O,punc,no
أو,O,conj,yes
السيطرة,O,noun,no
على,O,prep,yes
تكاثرها,O,noun,no
الشاذ,O,adj,no
.,O,punc,no
يسمى,O,verb,no
السرطان,O,noun,no
اعتمادا,O,noun,no
على,O,prep,yes
المكان,O,noun,no
الذي,O,pron_rel,yes
بدأ,O,verb,no
ظهوره,O,noun,no
فيه,O,prep,no
",",O,punc,no
فالسرطان,O,noun,no
الذي,O,pron_rel,yes
يبدأ,O,verb,yes
في,O,prep,yes
خلايا,O,noun,no
الدم,O,noun,no
البيضاء,O,adj,no
يسمى,O,verb,no
سرطان,B,noun,no
خلايا,I,noun,no
الدم,I,noun,no
البيضاء,I,adj,no
",",O,punc,no
حتى,O,part,no
إذا,O,conj_sub,yes
انتشر,O,verb,no
إلى,O,prep,yes
أماكن,O,noun,no
أخرى,O,adj,yes
من,O,prep,yes
الجسم,O,noun,no
.,O,punc,no
يستطيع,O,verb,no
الأطباء,O,noun,no
تحديد,O,noun,no
المكان,O,noun,no
الذي,O,pron_rel,yes
بدأ,O,verb,no
فيه,O,prep,no
السرطان,O,noun,no
",",O,punc,no
إلا,O,prep,yes
أنهم,O,conj_sub,no
لا,O,part_neg,yes
يستطيعون,O,verb,no
معرفة,O,noun,no
سبب,O,noun,no
السرطان,O,noun,no
في,O,prep,yes
جميع,O,noun_quant,yes
الحالات,O,noun,no
.,O,punc,no
تحتوي,O,verb,no
الخلايا,O,noun,no
على,O,prep,yes
مواد,O,noun,no
وراثية,O,adj,no
أو,O,conj,yes
جينية,O,noun,no
تدعى,O,verb,no
الكروموسومات,O,noun,no
أو,O,conj,yes
الصبغيات,O,noun,no
",",O,punc,no
و,O,conj,no
هي,O,pron,yes
تسيطر,O,verb,no
على,O,prep,yes
تكاثر,O,noun,no
الخلايا,O,noun,no
.,O,punc,no
يبدأ,O,verb,yes
السرطان,O,noun,no
دائما,O,adj,no
من,O,prep,yes
تغيرات,O,noun,no
تطرأ,O,verb,no
على,O,prep,yes
الكروموسومات,O,noun,no
.,O,punc,no
و,O,conj,no
عندما,O,noun,no
تصاب,O,verb,no
كروموسومات,O,noun,no
الخلية,O,noun,no
ب,O,prep,no
حالة,O,noun,no
شذوذ,O,noun,no
",",O,punc,no
يمكن,O,verb,yes
أن,O,conj_sub,yes
تفقد,O,verb,no
الخلية,O,noun,no
قدرتها,O,noun,no
على,O,prep,yes
ضبط,O,noun,no
تكاثرها,O,noun,no
.,O,punc,no
يمكن,O,verb,yes
أن,O,conj_sub,yes
تحدث,O,verb,no
تغيرات,O,noun,no
مفاجئة,O,adj,no
في,O,prep,yes
المادة,O,noun,no
الوراثية,O,adj,no
",",O,punc,no
و,O,conj,no
ذلك,O,pron_dem,yes
ل,O,prep,no
أسباب,O,noun,no
عديدة,O,adj,no
.,O,punc,no
و,O,conj,no
تكون,O,verb,yes
أسباب,O,noun,no
بعض,O,noun_quant,yes
هذه,O,pron_dem,yes
التغيرات,O,noun,no
وراثية,O,adj,no
أحيانا,O,noun,no
.,O,punc,no
يمكن,O,verb,yes
أن,O,conj_sub,yes
تحدث,O,verb,no
التغيرات,O,noun,no
في,O,prep,yes
الكروموسومات,O,noun,no
ب,O,prep,no
سبب,O,noun,no
التعرض,O,noun,no
ل,O,prep,no
العدوى,O,noun,no
أو,O,conj,yes
الأدوية,O,noun,no
أو,O,conj,yes
التبغ,O,noun,no
أو,O,conj,yes
العناصر,O,noun,no
الكيميائية,O,adj,no
أو,O,conj,yes
غيرها,O,noun,no
من,O,prep,yes
العوامل,O,noun,no
.,O,punc,no
و,O,conj,no
في,O,prep,yes
حالة,O,noun,no
سرطان,B,noun,no
الجلد,I,noun,no
",",O,punc,no
تكون,O,verb,yes
أشعة,O,noun,no
الشمس,O,noun,no
هي,O,pron,yes
المسؤولة,O,adj,no
عن,O,prep,yes
تغير,O,noun,no
الكروموسومات,O,noun,no
الذي,O,pron_rel,yes
يؤدي,O,verb,no
إلى,O,prep,yes
السرطان,O,noun,no
.,O,punc,no
ابيضاض,B,noun,no
الدم,I,noun,no
(,O,punc,no
اللوكيميا,B,noun_prop,no
),O,punc,no
ابيضاض,B,noun,no
الدم,I,noun,no
هو,O,pron,yes
سرطان,O,noun,no
على,O,prep,yes
حساب,O,noun,no
خلايا,O,noun,no
الدم,O,noun,no
",",O,punc,no
حيث,O,adv_rel,yes
يتألف,O,verb,no
الدم,O,noun,no
الطبيعي,O,adj,no
من,O,prep,yes
سائل,O,noun,no
",",O,punc,no
يدعى,O,verb,no
المصل,O,noun,no
",",O,punc,no
و,O,conj,no
من,O,prep,yes
ثلاثة,O,noun_num,no
أنواع,O,noun,no
من,O,prep,yes
الخلايا,O,noun,no
:,O,punc,no
خلايا,O,noun,no
الدم,O,noun,no
البيضاء,O,adj,no
(,O,punc,no
الكريات,O,noun,no
البيض,O,noun,no
),O,punc,no
.,O,punc,no
خلايا,O,noun,no
الدم,O,noun,no
الحمراء,O,adj,no
(,O,punc,no
الكريات,O,noun,no
الحمر,O,adj,no
),O,punc,no
.,O,punc,no
الصفيحات,O,verb,no
.,O,punc,no
تساعد,O,verb,no
خلايا,O,noun,no
الدم,O,noun,no
البيضاء,O,adj,no
",",O,punc,no
و,O,conj,no
تدعى,O,verb,no
الكريات,O,noun,no
البيض,O,noun,no
أيضا,O,adv,yes
",",O,punc,no
الجسم,O,noun,no
على,O,prep,yes
مكافحة,O,noun,no
العدوى,O,noun,no
و,O,conj,no
الأمراض,O,noun,no
.,O,punc,no
تحمل,O,verb,no
خلايا,O,noun,no
الدم,O,noun,no
الحمراء,O,adj,no
",",O,punc,no
و,O,conj,no
تدعى,O,verb,no
الكريات,O,noun,no
الحمر,O,adj,no
أيضا,O,adv,yes
",",O,punc,no
الأكسجين,O,noun,no
من,O,prep,yes
الرئتين,O,noun,no
إلى,O,prep,yes
أنسجة,O,noun,no
الجسم,O,noun,no
",",O,punc,no
و,O,conj,no
هي,O,pron,yes
تنقل,O,verb,no
ثاني,O,adj_num,no
أكسيد,O,noun,no
الكربون,O,noun,no
من,O,prep,yes
الأنسجة,O,noun,no
إلى,O,prep,yes
الرئتين,O,noun,no
.,O,punc,no
و,O,conj,no
تعطي,O,verb,no
خلايا,O,noun,no
الدم,O,noun,no
الحمراء,O,adj,no
الدم,O,noun,no
لونه,O,noun,no
الأحمر,O,adj,no
.,O,punc,no
تساعد,O,verb,no
الصفيحات,O,noun,no
الدموية,O,adj,no
الدم,O,noun,no
على,O,prep,yes
التخثر,O,noun,no
حين,O,noun,no
يصاب,O,verb,no
المرء,O,noun,no
ب,O,prep,no
جرح,O,noun,no
",",O,punc,no
حيث,O,adv_rel,yes
يسيطر,O,verb,no
الجسم,O,noun,no
على,O,prep,yes
النزف,O,noun,no
عن,O,prep,yes
طريق,O,noun,no
تخثر,O,noun,no
الدم,O,noun,no
الذي,O,pron_rel,yes
يوقفه,O,verb,no
",",O,punc,no
و,O,conj,no
يمنع,O,verb,no
فقدان,O,noun,no
المصاب,O,adj,no
كمية,O,noun,no
كبيرة,O,adj,no
من,O,prep,yes
الدم,O,noun,no
.,O,punc,no
تتشكل,O,verb,no
خلايا,O,noun,no
الدم,O,noun,no
في,O,prep,yes
لب,O,noun,no
العظم,O,noun,no
الذي,O,pron_rel,yes
يتصف,O,verb,no
ب,O,prep,no
قوام,O,noun,no
إسفنجي,O,noun,no
طري,O,adj,no
",",O,punc,no
و,O,conj,no
هو,O,pron,yes
يدعى,O,verb,no
نقي,O,noun,no
العظام,O,noun,no
(,O,punc,no
أو,O,conj,yes
نخاع,O,noun,no
العظم,O,noun,no
),O,punc,no
.,O,punc,no
و,O,conj,no
تدعى,O,verb,no
خلايا,O,noun,no
الدم,O,noun,no
الجديدة,O,adj,no
التي,O,pron_rel,yes
لم,O,part_neg,yes
يكتمل,O,verb,no
تكونها,O,verb,no
الارومات,O,noun,no
.,O,punc,no
تبقى,O,verb,no
بعض,O,noun_quant,yes
الأرومات,O,noun,no
في,O,prep,yes
نقي,O,noun,no
العظم,O,noun,no
حتى,O,prep,no
يكتمل,O,verb,no
نضجها,O,noun,no
",",O,punc,no
في,O,prep,yes
حين,O,noun,no
ينتقل,O,verb,no
البعض,O,noun_quant,no
الآخر,O,adj,no
إلى,O,prep,yes
أجزاء,O,noun,no
أخرى,O,adj,yes
من,O,prep,yes
الجسم,O,noun,no
كي,O,conj_sub,yes
تنضج,O,verb,no
فيها,O,prep,no
.,O,punc,no
في,O,prep,yes
الحالة,O,noun,no
الطبيعية,O,adj,no
",",O,punc,no
يتم,O,verb,no
إنتاج,O,noun,no
خلايا,O,noun,no
الدم,O,noun,no
ب,O,prep,no
طريقة,O,noun,no
مضبوطة,O,adj,no
و,O,conj,no
ب,O,prep,no
الكمية,O,noun,no
اللازمة,O,adj,no
ل,O,prep,no
الجسم,O,noun,no
",",O,punc,no
و,O,conj,no
هذه,O,pron_dem,yes
العملية,O,noun,no
تساعدنا,O,verb,no
على,O,prep,yes
البقاء,O,noun,no
ب,O,prep,no
صحة,O,noun,no
جيدة,O,adj,no
.,O,punc,no
حين,O,noun,no
يصاب,O,verb,no
المرء,O,noun,no
ب,O,prep,no
ابيضاض,B,noun,no
الدم,I,noun,no
",",O,punc,no
ينتج,O,verb,no
الجسم,O,noun,no
أعدادا,O,noun,no
كبيرة,O,adj,no
من,O,prep,yes
خلايا,O,noun,no
الدم,O,noun,no
البيضاء,O,adj,no
الشاذة,O,noun,no
.,O,punc,no
يكون,O,verb,yes
شكل,O,noun,yes
خلايا,O,noun,no
ابيضاض,B,noun,no
الدم,I,noun,no
مختلفا,O,adj,no
عن,O,prep,yes
شكل,O,noun,yes
خلايا,O,noun,no
الدم,O,noun,no
البيضاء,O,adj,no
الطبيعية,O,adj,no
عادة,O,noun,yes
",",O,punc,no
كما,O,conj,yes
أنها,O,conj_sub,yes
لا,O,part_neg,yes
تعمل,O,verb,no
على,O,prep,yes
نحو,O,noun,yes
صحيح,O,adj,no
.,O,punc,no
لا,O,part_neg,yes
يزال,O,verb,no
سبب,O,noun,no
حدوث,O,noun,no
ابيضاض,B,noun,no
الدم,I,noun,no
غير,O,noun,yes
معروف,O,adj,no
حتى,O,prep,no
الآن,O,noun,no
",",O,punc,no
لكن,O,verb_pseudo,yes
الباحثين,O,noun,no
اكتشفوا,O,verb,no
أن,O,conj_sub,yes
هناك,O,adv,yes
عوامل,O,noun,no
خطورة,O,noun,no
تزيد,O,verb,no
من,O,prep,yes
خطر,O,noun,no
إصابة,O,noun,no
الشخص,O,noun,no
ب,O,prep,no
ابيضاض,B,noun,no
الدم,I,noun,no
.,O,punc,no
يتميز,O,verb,no
ابيضاض,B,noun,no
الدم,I,noun,no
عموما,O,noun,no
ب,O,prep,no
سرعة,O,noun,no
تطوره,O,noun,no
",",O,punc,no
و,O,conj,no
بسرعة,O,noun,no
تدهور,O,noun,no
حالة,O,noun,no
المريض,O,adj,no
",",O,punc,no
ف,O,conj,yes
في,O,prep,yes
ابيضاض,B,noun,no
الدم,I,noun,no
الحاد,I,adj,no
(,O,punc,no
1,O,digit,no
),O,punc,no
",",O,punc,no
يتدهور,O,verb,no
وضع,O,noun,no
المريض,O,noun,no
ب,O,prep,no
سرعة,O,noun,no
.,O,punc,no
أما,O,part_focus,yes
في,O,prep,yes
ابيضاض,B,noun,no
الدم,I,noun,no
المزمن,I,adj,no
(,O,punc,no
2,O,digit,no
),O,punc,no
",",O,punc,no
ف,O,conj,yes
يتدهور,O,verb,no
وضع,O,noun,no
المريض,O,adj,no
على,O,prep,yes
نحو,O,noun,yes
تدريجي,O,adj,no
.,O,punc,no
كما,O,conj,yes
يمكن,O,verb,yes
تصنيف,O,noun,no
ابيضاض,B,noun,no
الدم,I,noun,no
أيضا,O,adv,yes
حسب,O,noun,yes
نوع,O,noun,no
الكريات,O,noun,no
البيض,O,noun,no
المصابة,O,adj,no
.,O,punc,no
و,O,conj,no
من,O,prep,yes
الأمثلة,O,noun,no
على,O,prep,yes
ذلك,O,pron_dem,yes
:,O,punc,no
ابيضاض,B,noun,no
الدم,I,noun,no
اللمفاوي,I,adj,no
وابيضاض,B,noun,no
الدم,I,noun,no
النقوي,I,adj,no
.,O,punc,no
أعراض,O,noun,no
اللوكيميا,B,adj,no
تكون,O,verb,yes
خلايا,O,noun,no
ابيضاض,B,noun,no
الدم,I,noun,no
شاذة,O,adj,no
أو,O,conj,yes
غير,O,noun,yes
طبيعية,O,adj,no
",",O,punc,no
و,O,conj,no
لا,O,part_neg,yes
تستطيع,O,verb,no
أن,O,conj_sub,yes
تقوم,O,verb,no
ب,O,prep,no
وظيفة,O,noun,no
خلايا,O,noun,no
الدم,O,noun,no
الطبيعية,O,adj,no
",",O,punc,no
ف,O,abbrev,yes
هي,O,pron,yes
لا,O,part_neg,yes
تستطيع,O,verb,no
أن,O,conj_sub,yes
تساعد,O,verb,no
الجسم,O,noun,no
على,O,prep,yes
مقاومة,O,noun,no
العدوى,O,noun,no
.,O,punc,no
ل,O,prep,no
ذلك,O,pron_dem,yes
",",O,punc,no
ف,O,conj,yes
إن,O,conj_sub,yes
مرضى,O,noun,no
ابيضاض,B,noun,no
الدم,I,noun,no
يعانون,O,verb,no
كثيرا,O,adj,no
من,O,prep,yes
العدوى,O,noun,no
و,O,conj,no
الحمى,O,noun,no
.,O,punc,no
يكون,O,verb,yes
عند,O,noun,yes
مريض,O,noun,no
ابيضاض,B,noun,no
الدم,I,noun,no
نقص,O,noun,no
في,O,prep,yes
عدد,O,noun,no
الصفيحات,O,noun,no
و,O,conj,no
الكريات,O,noun,no
الحمر,O,adj,no
السليمة,O,adj,no
غالبا,O,adj,no
.,O,punc,no
و,O,conj,no
ب,O,prep,no
ذلك,O,pron_dem,yes
",",O,punc,no
ف,O,conj,yes
إن,O,conj_sub,yes
الجسم,O,noun,no
لا,O,part_neg,yes
يتلقى,O,verb,no
ما,O,pron_rel,yes
يكفي,O,verb,no
من,O,prep,yes
الأكسجين,O,noun,no
.,O,punc,no
عند,O,noun,yes
نقص,O,noun,no
الكريات,O,noun,no
الحمر,O,adj,no
",",O,punc,no
يكون,O,verb,yes
المريض,O,noun,no
مصابا,O,adj,no
ب,O,prep,no
فقر,O,noun,no
الدم,O,noun,no
",",O,punc,no
ف,O,conj,yes
يبدو,O,verb,no
شاحب,O,adj,no
اللون,O,noun,no
",",O,punc,no
و,O,conj,no
يشعر,O,verb,no
ب,O,prep,no
الوهن,O,noun,no
و,O,conj,no
التعب,O,noun,no
.,O,punc,no
و,O,conj,no
يؤدي,O,verb,no
نقص,O,noun,no
الصفيحات,O,adj,no
إلى,O,prep,yes
سهولة,O,noun,no
إصابة,O,noun,no
المريض,O,adj,no
ب,O,prep,no
النزف,O,noun,no
و,O,conj,no
الكدمات,O,noun,no
.,O,punc,no
قد,O,part_verb,yes
يستغرق,O,verb,no
ظهور,O,noun,no
الأعراض,O,noun,no
فترة,O,noun,no
طويلة,O,adj,no
من,O,prep,yes
الزمن,O,noun,no
في,O,prep,yes
حالة,O,noun,no
ابيضاض,B,noun,no
الدم,I,noun,no
المزمن,I,adj,no
.,O,punc,no
و,O,conj,no
حين,O,noun,no
تظهر,O,verb,no
الأعراض,O,noun,no
",",O,punc,no
تكون,O,verb,yes
خفيفة,O,adj,no
في,O,prep,yes
البداية,O,noun,no
",",O,punc,no
ثم,O,conj,no
تتفاقم,O,verb,no
ب,O,prep,no
التدريج,O,noun,no
.,O,punc,no
و,O,conj,no
يكتشف,O,verb,no
الأطباء,O,noun,no
غالبا,O,adj,no
وجود,O,noun,no
ابيضاض,B,noun,no
الدم,I,noun,no
المزمن,I,adj,no
في,O,prep,yes
أثناء,O,noun,no
إجراء,O,noun,no
الفحوص,O,noun,no
الروتينية,O,adj,no
قبل,O,noun,no
ظهور,O,noun,no
أية,O,noun_quant,yes
أعراض,O,noun,no
.,O,punc,no
من,O,prep,yes
الأعراض,O,noun,no
المعروفة,O,adj,yes
لابيضاض,B,noun,no
الدم,I,noun,no
:,O,punc,no
الحمى,O,noun,no
و,O,conj,no
القشعريرة,O,noun,no
.,O,punc,no
الوهن,O,verb,no
و,O,conj,no
التعب,O,noun,no
.,O,punc,no
العدوى,O,noun,no
المتكررة,O,adj,no
.,O,punc,no
نقص,O,noun,no
الوزن,O,noun,no
.,O,punc,no
ضخامة,O,noun,no
العقد,O,noun,no
اللمفية,O,adj,no
و,O,conj,no
تألم,O,verb,no
المريض,O,noun,no
عند,O,noun,yes
لمسها,O,noun,no
.,O,punc,no
سهولة,O,noun,no
النزف,O,noun,no
و,O,conj,no
الإصابة,O,noun,no
ب,O,prep,no
الكدمات,O,noun,no
.,O,punc,no
من,O,prep,yes
الأعراض,O,noun,no
الأخرى,O,adj,no
لابيضاض,B,noun,no
الدم,I,noun,no
:,O,punc,no
ظهور,O,noun,no
نقط,O,noun,no
حمراء,O,adj,no
صغيرة,O,adj,no
تحت,O,noun,no
الجلد,O,noun,no
",",O,punc,no
ب,O,prep,no
سبب,O,noun,no
الميل,O,noun,no
غير,O,noun,yes
الطبيعي,O,adj,no
ل,O,prep,no
النزف,O,noun,no
.,O,punc,no
ضخامة,O,noun,no
اللثة,O,noun,no
و,O,conj,no
ميلها,O,noun,no
ل,O,prep,no
النزف,O,noun,no
.,O,punc,no
التعرق,O,noun,no
",",O,punc,no
و,O,conj,no
لاسيما,O,adv,yes
في,O,prep,yes
الليل,O,noun,no
.,O,punc,no
ألم,O,noun,no
في,O,prep,yes
العظام,O,noun,no
و,O,conj,no
